Histori                                                                                                 
Station                                                                                                 
Prov   station's name             stnid   beg yr   beg mon  end yr   end mon lat (deg)long (degelev (m) stns joined
Prov   nom de la station          stnid  année débmois déb.année finmois fin.lat (deg)long (degélév (m) stns jointe
BC     AGASSIZ                   1100120   1893       1      2010      12      49.3    -121.8     15         N     
BC     ATLIN                     1200560   1905       8      2010      12      59.6    -133.7     674        N     
BC     BARKERVILLE               1090660   1888       2      2008       8      53.1    -121.5    1265        N     
BC     BEAVERDELL                1130771   1939       1      2006       9      49.5    -119.1     838        Y     
BC     BELLA COOLA               1060841   1895       5      2010      12      52.4    -126.7     18         Y     
BC     BLIND CHANNEL             1021480   1958       7      2010      12      50.4    -125.5     23         N     
BC     BLUE RIVER                1160899   1946       9      2010      12      52.1    -119.3     683        Y     
BC     CAPE SCOTT                1031353   1921       7      2010      12      50.8    -128.4     72         Y     
BC     CAPE ST JAMES             1051351   1944      12      2010       7      51.9    -131.0     89         Y     
BC     CARIBOO LODGE             1171393   1914       1      2009      11      52.7    -119.5    1096        Y     
BC     COMOX                     1021830   1935      11      2010      12      49.7    -124.9     26         Y     
BC     CRANBROOK                 1152102   1901       1      2010      12      49.6    -115.8     940        Y     
BC     CRESTON                   1142160   1912       6      2010       7      49.1    -116.5     597        N     
BC     DARFIELD                  1162265   1913      12      2010      12      51.3    -120.2     412        Y     
BC     DAWSON CREEK              1182285   1952       9      2009       9      55.8    -120.2     655        Y     
BC     DEASE LAKE                1192340   1944       9      2010      12      58.4    -130.0     807        N     
BC     ESTEVAN POINT             1032730   1923      10      2010      12      49.4    -126.6      7         N     
BC     FAUQUIER                  1142820   1913       2      2008       7      49.9    -118.1     490        N     
BC     FORT NELSON               1192940   1937       9      2010      12      58.8    -122.6     382        N     
BC     FORT ST JAMES             1092970   1895       1      2010      12      54.5    -124.3     686        N     
BC     FORT ST JOHN              1183000   1939       1      2010      12      56.2    -120.7     695        Y     
BC     GERMANSEN                 1183090   1951       8      2010      12      55.8    -124.7     766        N     
BC     GLACIER                   1173191   1908       1      2008       6      51.3    -117.5    1323        Y     
BC     GOLDEN                    1173210   1902       4      2010      12      51.3    -117.0     785        N     
BC     GRAND FORKS               1133270   1911       3      2008       3      49.0    -118.5     532        Y     
BC     KAMLOOPS                  1163780   1890       1      2010      12      50.7    -120.5     345        Y     
BC     KASLO                     1143900   1912       2      2010       6      49.9    -116.9     591        N     
BC     KELOWNA                   1123993   1899       3      2010      12      49.9    -119.5     430        Y     
BC     LANGARA                   1054500   1936       7      2010      12      54.3    -133.1     41         N     
BC     MCINNES ISLAND            1065010   1955       1      2010      12      52.3    -128.7     26         N     
BC     MERRITT                   1125079   1962       6      2010      12      50.1    -120.8     609        Y     
BC     OLIVER                    1125766   1955       1      2010      12      49.2    -119.6     297        N     
BC     PENTICTON                 1126150   1907       4      2010      12      49.5    -119.6     344        Y     
BC     PORT HARDY                1026270   1944       5      2010      12      50.7    -127.4     22         N     
BC     PRINCE GEORGE             1096450   1912       8      2010       8      53.9    -122.7     691        Y     
BC     PRINCE RUPERT             1066483   1908       8      2010       7      54.3    -130.5     35         Y     
BC     PRINCETON                 1126510   1893       7      2010      12      49.5    -120.5     700        Y     
BC     QUATSINO                  1036572   1895       6      2010      12      50.5    -127.7      8         Y     
BC     QUESNEL                   1096625   1899       1      2010       6      53.0    -122.5     545        Y     
BC     QUINSAM RIVER             1026639   1958       7      2010      12      50.0    -125.3     46         Y     
BC     SALMON ARM                1166R45   1911       7      2010      12      50.7    -119.2     527        Y     
BC     SANDSPIT                  1057050   1945       9      2010      12      53.3    -131.8      6         N     
BC     SHAWNIGAN LAKE            1017230   1913       4      2010      12      48.7    -123.6     138        N     
BC     SMITHERS                  1077500   1922       6      2010      12      54.8    -127.2     522        Y     
BC     STEWART                   1067742   1910       9      2010      12      55.9    -130.0      7         Y     
BC     TATLAYOKO LAKE            1088015   1930       1      2010      12      51.7    -124.4     870        Y     
BC     TERRACE                   1068130   1912      10      2010      12      54.5    -128.6     217        Y     
BC     VANCOUVER                 1108447   1896       2      2010      12      49.2    -123.2      4         Y     
BC     VAVENBY                   1168520   1913       4      2010      12      51.6    -119.8     445        Y     
BC     VERNON                    1128582   1900       4      2010      12      50.2    -119.2     427        Y     
BC     VICTORIA                  1018620   1898       8      2010      12      48.5    -123.3     19         Y     
BC     WARFIELD                  1148705   1928       6      2010      12      49.1    -117.8     606        Y     
BC     WILLIAMS LAKE             1098940   1939       1      2010      12      52.2    -122.1     940        Y     
BC     WISTARIA                  1085835   1926       1      2008       6      53.8    -126.2     863        Y     
YT     BURWASH                   2100182   1966      10      2008       6      61.4    -139.1     807        N     
YT     DAWSON                    2100LRP   1901       1      2010      12      64.1    -139.1     370        Y     
YT     HAINES JUNCTION           2100630   1944      10      2010      12      60.8    -137.5     596        N     
YT     KOMAKUK BEACH             2100682   1958       7      2010      12      69.6    -140.2     13         Y     
YT     MAYO                      2100700   1924      10      2010      11      63.6    -135.9     504        N     
YT     OLD CROW                  2100800   1951       9      2008       6      67.6    -139.8     251        N     
YT     PELLY RANCH               2100880   1955       1      2010       7      62.8    -137.4     454        N     
YT     SHINGLE POINT             2100950   1957       6      2010      12      69.0    -137.2     49         N     
YT     TESLIN                    2101102   1943      10      2010      12      60.2    -132.8     705        Y     
YT     WATSON LAKE               2101200   1938      10      2010      10      60.1    -128.8     687        N     
YT     WHITEHORSE                2101300   1942       4      2010      12      60.7    -135.1     706        N     
NT     CAPE PARRY                2200675   1957       5      2010      12      70.2    -124.7     87         N     
NT     FORT GOOD HOPE            2201450   1944       8      2010      11      66.2    -128.7     82         Y     
NT     FORT MCPHERSON            2201601   1940       1      2007      11      67.4    -134.9     35         Y     
NT     FORT RELIANCE             2201903   1948      10      2010      12      62.7    -109.2     168        Y     
NT     FORT SIMPSON              2202101   1895      11      2010      12      61.8    -121.2     169        Y     
NT     FORT SMITH                2202200   1913       7      2010      12      60.0    -112.0     205        Y     
NT     HAY RIVER                 2202400   1893       9      2010      12      60.8    -115.8     166        Y     
NT     INUVIK                    2202578   1957       3      2010      12      68.3    -133.5     103        Y     
NT     MOULD BAY                 250M001   1948       5      2010      12      76.2    -119.4      2         Y     
NT     NORMAN WELLS              2202800   1943       5      2010      12      65.3    -126.8     73         N     
NT     SACHS HARBOUR             2503648   1955      11      2010      12      72.0    -125.3     86         Y     
NT     TUKTOYAKTUK               2203914   1957       6      2010      12      69.5    -133.0     18         Y     
NT     YELLOWKNIFE               2204100   1942       7      2010      12      62.5    -114.4     206        N     
NU     ALERT                     2400305   1950       7      2010      12      82.5     -62.3     65         Y     
NU     ARCTIC BAY                2402730   1937       9      2007      11      73.0     -84.6     642        Y     
NU     BAKER LAKE                2300500   1946       2      2010      12      64.3     -96.1     18         N     
NU     BROUGHTON                 2400570   1957       9      2010      12      67.5     -63.8     584        N     
NU     CAMBRIDGE BAY             2400600   1940       1      2010      12      69.1    -105.1     27         N     
NU     CAPE DORSET               2400635   1927       9      2008       7      64.2     -76.5     48         Y     
NU     CAPE DYER                 2400650   1959       8      2002       8      66.7     -61.4     393        Y     
NU     CAPE HOOPER               2400660   1957       1      2010      12      68.5     -66.8     390        N     
NU     CHESTERFIELD              2300707   1930       9      2009       9      63.3     -90.7     10         Y     
NU     CLYDE                     2400800   1946       1      2008       7      70.5     -68.5     27         N     
NU     CORAL HARBOUR             2301000   1945       1      2010      12      64.2     -83.4     64         N     
NU     DEWAR LAKES               2401030   1958       2      2010      12      68.7     -71.2     527        N     
